,Lyrics,Title,Year,Genre
27,NONE,NONE,NONE,Rock
28,NONE,NONE,NONE,Rock
29,NONE,NONE,NONE,Rock
30,NONE,NONE,NONE,Rock
31,So long ago Was it in a dream? Was it just a dream? I know  yes I know It seemed so very real Seemed so real to me  Took a walk down the street Through the heat whispered trees I thought I could hear Hear Hear Hear  Somebody call out my name (John) As it started to rain Two spirits dancing so strange Ah! Bowakawa  pousse pousse Ah! Bowakawa  pousse pousse Ah! Bowakawa  pousse pousse  Dream  dream away Magic in the air Was magic in the air? I believe  yes I believe More I cannot say What more can I say?  On a river of sound Through the mirror go round  round I thought I could feel Feel Feel Feel Music touching my soul Something warm  sudden cold The spirit dance was unfolding Ah! Bowakawa  pousse pousse Ah! Bowakawa  pousse pousse Ah! Bowakawa  pousse pousse Ah! Bowakawa  pousse pousse Ah! Bowakawa  pousse pousse Ah! Bowakawa  pousse pousse Ah! Bowakawa  pousse pousse Ah! Bowakawa  pousse pousse Ah! Bowakawa  pousse pousse Ah! Bowakawa  pousse pousse Ah! Bowakawa  pousse pousse Ah! Bowakawa  pousse pousse,#9 Dream,2005,Rock
32,NONE,NONE,NONE,Rock
33,NONE,NONE,NONE,Rock
34,NONE,NONE,NONE,Rock
35,NONE,NONE,NONE,Rock
36,NONE,NONE,NONE,Rock
37,NONE,NONE,NONE,Rock
38,NONE,NONE,NONE,Rock
39,NONE,NONE,NONE,Rock
40,NONE,NONE,NONE,Rock
41,NONE,NONE,NONE,Rock
42,NONE,NONE,NONE,Rock
43,NONE,NONE,NONE,Rock
44,NONE,NONE,NONE,Rock
45,NONE,NONE,NONE,Rock
46,NONE,NONE,NONE,Rock
47,NONE,NONE,NONE,Rock
48,NONE,NONE,NONE,Rock
49,NONE,NONE,NONE,Rock
50,NONE,NONE,NONE,Rock
